match_number,comp_level,team,alliance,auto points,taxi points,foul points,teleop points,endgame_points,hanger ranking pt,score,rp
1,qm,frc1540,red,12,4,4,53,21,True,69,3
1,qm,frc6696,red,12,4,4,53,21,True,69,3
1,qm,frc2990,red,12,4,4,53,21,True,69,3
1,qm,frc6343,blue,4,4,4,22,16,True,30,1
1,qm,frc2898,blue,4,4,4,22,16,True,30,1
1,qm,frc2733,blue,4,4,4,22,16,True,30,1
10,qm,frc6696,red,2,2,0,4,0,False,6,0
10,qm,frc2374,red,2,2,0,4,0,False,6,0
10,qm,frc2635,red,2,2,0,4,0,False,6,0
10,qm,frc2898,blue,8,4,4,27,12,False,39,2
10,qm,frc957,blue,8,4,4,27,12,False,39,2
10,qm,frc4057,blue,8,4,4,27,12,False,39,2
11,qm,frc4450,red,6,4,4,15,15,False,25,2
11,qm,frc997,red,6,4,4,15,15,False,25,2
11,qm,frc568,red,6,4,4,15,15,False,25,2
11,qm,frc4662,blue,4,4,0,20,16,True,24,1
11,qm,frc6443,blue,4,4,0,20,16,True,24,1
11,qm,frc6343,blue,4,4,0,20,16,True,24,1
12,qm,frc1540,red,14,6,4,36,0,False,54,3
12,qm,frc2915,red,14,6,4,36,0,False,54,3
12,qm,frc2046,red,14,6,4,36,0,False,54,3
12,qm,frc2471,blue,6,2,0,2,0,False,8,0
12,qm,frc5975,blue,6,2,0,2,0,False,8,0
12,qm,frc3131,blue,6,2,0,2,0,False,8,0
13,qm,frc3024,red,4,4,4,26,12,False,34,0
13,qm,frc2733,red,4,4,4,26,12,False,34,0
13,qm,frc3673,red,4,4,4,26,12,False,34,0
13,qm,frc2990,blue,26,6,4,38,12,False,68,3
13,qm,frc1425,blue,26,6,4,38,12,False,68,3
13,qm,frc957,blue,26,6,4,38,12,False,68,3
14,qm,frc5970,red,8,6,0,50,25,True,58,3
14,qm,frc4127,red,8,6,0,50,25,True,58,3
14,qm,frc3636,red,8,6,0,50,25,True,58,3
14,qm,frc753,blue,2,2,0,24,10,False,26,0
14,qm,frc1359,blue,2,2,0,24,10,False,26,0
14,qm,frc2374,blue,2,2,0,24,10,False,26,0
15,qm,frc5975,red,8,2,0,25,10,False,33,0
15,qm,frc2915,red,8,2,0,25,10,False,33,0
15,qm,frc6343,red,8,2,0,25,10,False,33,0
15,qm,frc2046,blue,30,6,0,41,15,False,71,3
15,qm,frc6443,blue,30,6,0,41,15,False,71,3
15,qm,frc4450,blue,30,6,0,41,15,False,71,3
16,qm,frc957,red,8,4,0,34,12,False,42,2
16,qm,frc4662,red,8,4,0,34,12,False,42,2
16,qm,frc3024,red,8,4,0,34,12,False,42,2
16,qm,frc3131,blue,10,4,8,22,21,True,40,1
16,qm,frc2898,blue,10,4,8,22,21,True,40,1
16,qm,frc997,blue,10,4,8,22,21,True,40,1
17,qm,frc4057,red,4,4,0,18,6,False,22,0
17,qm,frc753,red,4,4,0,18,6,False,22,0
17,qm,frc2471,red,4,4,0,18,6,False,22,0
17,qm,frc1540,blue,6,6,12,52,15,False,70,3
17,qm,frc3673,blue,6,6,12,52,15,False,70,3
17,qm,frc3636,blue,6,6,12,52,15,False,70,3
18,qm,frc4127,red,10,6,0,24,19,True,34,1
18,qm,frc2990,red,10,6,0,24,19,True,34,1
18,qm,frc2733,red,10,6,0,24,19,True,34,1
18,qm,frc1359,blue,12,4,0,23,12,False,35,2
18,qm,frc2635,blue,12,4,0,23,12,False,35,2
18,qm,frc5970,blue,12,4,0,23,12,False,35,2
19,qm,frc1425,red,20,6,0,12,0,False,32,2
19,qm,frc2374,red,20,6,0,12,0,False,32,2
19,qm,frc2915,red,20,6,0,12,0,False,32,2
19,qm,frc6696,blue,4,2,0,6,6,False,10,0
19,qm,frc568,blue,4,2,0,6,6,False,10,0
19,qm,frc957,blue,4,2,0,6,6,False,10,0
2,qm,frc5970,red,8,6,4,10,0,False,22,1
2,qm,frc4450,red,8,6,4,10,0,False,22,1
2,qm,frc3024,red,8,6,4,10,0,False,22,1
2,qm,frc2915,blue,6,2,4,12,6,False,22,1
2,qm,frc1359,blue,6,2,4,12,6,False,22,1
2,qm,frc2635,blue,6,2,4,12,6,False,22,1
20,qm,frc997,red,20,4,0,57,21,True,77,4
20,qm,frc2046,red,20,4,0,57,21,True,77,4
20,qm,frc2898,red,20,4,0,57,21,True,77,4
20,qm,frc1540,blue,22,6,0,24,0,False,46,0
20,qm,frc4450,blue,22,6,0,24,0,False,46,0
20,qm,frc3673,blue,22,6,0,24,0,False,46,0
21,qm,frc3131,red,8,4,4,14,6,False,26,0
21,qm,frc6343,red,8,4,4,14,6,False,26,0
21,qm,frc5970,red,8,4,4,14,6,False,26,0
21,qm,frc3636,blue,10,6,8,40,10,False,58,2
21,qm,frc4662,blue,10,6,8,40,10,False,58,2
21,qm,frc4057,blue,10,6,8,40,10,False,58,2
22,qm,frc2635,red,18,6,8,34,25,True,60,3
22,qm,frc2990,red,18,6,8,34,25,True,60,3
22,qm,frc6443,red,18,6,8,34,25,True,60,3
22,qm,frc6696,blue,2,2,4,0,0,False,6,0
22,qm,frc5975,blue,2,2,4,0,0,False,6,0
22,qm,frc4127,blue,2,2,4,0,0,False,6,0
23,qm,frc2733,red,2,2,0,4,4,False,6,0
23,qm,frc753,red,2,2,0,4,4,False,6,0
23,qm,frc568,red,2,2,0,4,4,False,6,0
23,qm,frc1425,blue,16,6,0,20,6,False,36,2
23,qm,frc2471,blue,16,6,0,20,6,False,36,2
23,qm,frc1359,blue,16,6,0,20,6,False,36,2
24,qm,frc3024,red,12,4,0,40,6,False,52,2
24,qm,frc1540,red,12,4,0,40,6,False,52,2
24,qm,frc3131,red,12,4,0,40,6,False,52,2
24,qm,frc2374,blue,8,6,8,16,6,False,32,0
24,qm,frc5970,blue,8,6,8,16,6,False,32,0
24,qm,frc4662,blue,8,6,8,16,6,False,32,0
25,qm,frc3636,red,8,6,0,54,21,True,62,4
25,qm,frc957,red,8,6,0,54,21,True,62,4
25,qm,frc2915,red,8,6,0,54,21,True,62,4
25,qm,frc2046,blue,14,6,12,30,15,False,56,0
25,qm,frc3673,blue,14,6,12,30,15,False,56,0
25,qm,frc4127,blue,14,6,12,30,15,False,56,0
26,qm,frc4450,red,12,6,4,25,16,True,41,3
26,qm,frc2898,red,12,6,4,25,16,True,41,3
26,qm,frc2471,red,12,6,4,25,16,True,41,3
26,qm,frc6443,blue,14,6,0,15,6,False,29,0
26,qm,frc753,blue,14,6,0,15,6,False,29,0
26,qm,frc1425,blue,14,6,0,15,6,False,29,0
27,qm,frc2374,red,10,4,0,29,21,True,39,3
27,qm,frc568,red,10,4,0,29,21,True,39,3
27,qm,frc2990,red,10,4,0,29,21,True,39,3
27,qm,frc2635,blue,4,4,0,13,0,False,17,0
27,qm,frc4057,blue,4,4,0,13,0,False,17,0
27,qm,frc3024,blue,4,4,0,13,0,False,17,0
28,qm,frc2733,red,6,4,8,28,21,True,42,3
28,qm,frc5975,red,6,4,8,28,21,True,42,3
28,qm,frc1359,red,6,4,8,28,21,True,42,3
28,qm,frc6343,blue,8,4,0,24,21,True,32,1
28,qm,frc997,blue,8,4,0,24,21,True,32,1
28,qm,frc6696,blue,8,4,0,24,21,True,32,1
29,qm,frc4662,red,22,6,0,20,6,False,42,2
29,qm,frc1540,red,22,6,0,20,6,False,42,2
29,qm,frc1425,red,22,6,0,20,6,False,42,2
29,qm,frc753,blue,14,6,4,12,6,False,30,0
29,qm,frc5970,blue,14,6,4,12,6,False,30,0
29,qm,frc2915,blue,14,6,4,12,6,False,30,0
